Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"12.10.2020 12:54"
Zeitbezug:;MEZ
Messstellen-Name:;Dillingen
Messstellen-Nr.:;10035801
Gewässer:;Donau
Ostwert:;610566;Nordwert:;5380536;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"415,01 m NN (DHHN12)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2017-01-01;70,1;77,5;50,7;Rohdaten
2017-01-02;64,5;74,2;60,6;Rohdaten
2017-01-03;64,5;67,4;53,9;Rohdaten
2017-01-04;64,4;67,4;60,6;Rohdaten
2017-01-05;67,7;71;67,4;Rohdaten
2017-01-06;64,6;71;60,6;Rohdaten
2017-01-07;56,9;60,6;50,7;Rohdaten
2017-01-08;60,1;67,4;57,2;Rohdaten
2017-01-09;56,7;67,4;47,4;Rohdaten
2017-01-10;62,5;74,2;50,7;Rohdaten
2017-01-11;60,2;67,4;41,2;Rohdaten
2017-01-12;72,3;87,8;60,6;Rohdaten
2017-01-13;95;131;67,4;Rohdaten
2017-01-14;102;137;67,4;Rohdaten
2017-01-15;71,6;81;67,4;Rohdaten
2017-01-16;66,7;71;57,2;Rohdaten
2017-01-17;69;81;53,9;Rohdaten
2017-01-18;61,2;81;38,1;Rohdaten
2017-01-19;66,5;74,2;60,6;Rohdaten
2017-01-20;59,8;67,4;50,7;Rohdaten
2017-01-21;59,5;71;50,7;Rohdaten
2017-01-22;57,3;64;44,3;Rohdaten
2017-01-23;64,6;74,2;53,9;Rohdaten
2017-01-24;65,3;84,3;50,7;Rohdaten
2017-01-25;64,7;74,2;50,7;Rohdaten
2017-01-26;60,3;71;50,7;Rohdaten
2017-01-27;65,1;84,3;50,7;Rohdaten
2017-01-28;59,6;71;47,4;Rohdaten
2017-01-29;67,8;71;64;Rohdaten
2017-01-30;66,5;81;53,9;Rohdaten
2017-01-31;102;218;60,6;Rohdaten
2017-02-01;255;294;201;Rohdaten
2017-02-02;185;207;163;Rohdaten
2017-02-03;168;178;147;Rohdaten
2017-02-04;156;181;141;Rohdaten
2017-02-05;137;159;124;Rohdaten
2017-02-06;125;144;104;Rohdaten
2017-02-07;115;137;91;Rohdaten
2017-02-08;102;104;91;Rohdaten
2017-02-09;100;114;77,5;Rohdaten
2017-02-10;93,7;94,3;87,8;Rohdaten
2017-02-11;86,7;101;71;Rohdaten
2017-02-12;93,1;97,8;87,8;Rohdaten
2017-02-13;77,5;94,3;60,6;Rohdaten
2017-02-14;76,5;97,8;41,2;Rohdaten
2017-02-15;77,1;87,8;67,4;Rohdaten
2017-02-16;74;81;60,6;Rohdaten
2017-02-17;98,7;141;71;Rohdaten
2017-02-18;129;156;84,3;Rohdaten
2017-02-19;114;141;94,3;Rohdaten
2017-02-20;94;111;60,6;Rohdaten
2017-02-21;111;159;87,8;Rohdaten
2017-02-22;208;264;160;Rohdaten
2017-02-23;201;258;156;Rohdaten
2017-02-24;156;166;147;Rohdaten
2017-02-25;157;169;147;Rohdaten
2017-02-26;133;153;114;Rohdaten
2017-02-27;133;137;124;Rohdaten
2017-02-28;126;137;118;Rohdaten
2017-03-01;143;156;124;Rohdaten
2017-03-02;160;216;137;Rohdaten
2017-03-03;203;227;187;Rohdaten
2017-03-04;188;199;172;Rohdaten
2017-03-05;169;193;137;Rohdaten
2017-03-06;155;163;137;Rohdaten
2017-03-07;177;204;150;Rohdaten
2017-03-08;207;224;193;Rohdaten
2017-03-09;291;511;184;Rohdaten
2017-03-10;505;545;420;Rohdaten
2017-03-11;340;422;281;Rohdaten
2017-03-12;276;309;232;Rohdaten
2017-03-13;235;248;204;Rohdaten
2017-03-14;190;207;169;Rohdaten
2017-03-15;171;187;140;Rohdaten
2017-03-16;161;169;150;Rohdaten
2017-03-17;160;178;140;Rohdaten
2017-03-18;153;184;114;Rohdaten
2017-03-19;324;410;187;Rohdaten
2017-03-20;281;407;207;Rohdaten
2017-03-21;211;253;193;Rohdaten
2017-03-22;180;199;156;Rohdaten
2017-03-23;180;199;143;Rohdaten
2017-03-24;153;175;137;Rohdaten
2017-03-25;134;172;104;Rohdaten
2017-03-26;153;172;121;Rohdaten
2017-03-27;141;147;121;Rohdaten
2017-03-28;116;134;87,1;Rohdaten
2017-03-29;117;140;90,7;Rohdaten
2017-03-30;112;130;101;Rohdaten
2017-03-31;121;134;111;Rohdaten
2017-04-01;120;134;101;Rohdaten
2017-04-02;106;134;80,7;Rohdaten
2017-04-03;114;134;97,6;Rohdaten
2017-04-04;128;134;124;Rohdaten
2017-04-05;126;137;108;Rohdaten
2017-04-06;108;127;87,1;Rohdaten
2017-04-07;104;118;83,9;Rohdaten
2017-04-08;96,7;104;83,9;Rohdaten
2017-04-09;85,1;93,9;77;Rohdaten
2017-04-10;101;124;80,7;Rohdaten
2017-04-11;105;114;90,7;Rohdaten
2017-04-12;101;111;93,9;Rohdaten
2017-04-13;92,8;108;70,2;Rohdaten
2017-04-14;93,4;108;73,6;Rohdaten
2017-04-15;82,1;118;46,9;Rohdaten
2017-04-16;99,1;127;77;Rohdaten
2017-04-17;138;150;127;Rohdaten
2017-04-18;156;181;124;Rohdaten
2017-04-19;132;163;114;Rohdaten
2017-04-20;122;150;101;Rohdaten
2017-04-21;103;121;87,1;Rohdaten
2017-04-22;104;121;90,7;Rohdaten
2017-04-23;104;118;87,1;Rohdaten
2017-04-24;116;130;77;Rohdaten
2017-04-25;126;169;108;Rohdaten
2017-04-26;233;269;166;Rohdaten
