Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"12.10.2020 12:51"
Zeitbezug:;MEZ
Messstellen-Name:;Kempten
Messstellen-Nr.:;11402001
Gewässer:;Iller
Ostwert:;598747;Nordwert:;5287175;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"656,23 m NN (DHHN12)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2017-01-01;12,2;20,3;10,6;Rohdaten
2017-01-02;12,4;22,8;4,15;Rohdaten
2017-01-03;12,3;17,7;9,44;Rohdaten
2017-01-04;12;16,9;9,68;Rohdaten
2017-01-05;12,3;16,9;9,68;Rohdaten
2017-01-06;11,7;17,7;9,68;Rohdaten
2017-01-07;10,6;15;9,44;Rohdaten
2017-01-08;12,5;16,1;9,68;Rohdaten
2017-01-09;11,7;16,5;8,25;Rohdaten
2017-01-10;11,6;16,1;9,68;Rohdaten
2017-01-11;11,8;13,9;10,2;Rohdaten
2017-01-12;16,2;22,8;9,91;Rohdaten
2017-01-13;25;34,8;19,2;Rohdaten
2017-01-14;19,4;26,3;17,3;Rohdaten
2017-01-15;17;20,7;12,8;Rohdaten
2017-01-16;15,7;19,2;13,2;Rohdaten
2017-01-17;14,9;18,4;12,8;Rohdaten
2017-01-18;13,9;18;12,8;Rohdaten
2017-01-19;13,1;18,4;10,2;Rohdaten
2017-01-20;12,5;18,4;9,44;Rohdaten
2017-01-21;13,5;18,4;10,2;Rohdaten
2017-01-22;13,3;19,6;9,68;Rohdaten
2017-01-23;13,3;22;9,91;Rohdaten
2017-01-24;12,2;13,9;10,6;Rohdaten
2017-01-25;11,5;13,2;9,68;Rohdaten
2017-01-26;11,2;13,9;9,68;Rohdaten
2017-01-27;11,4;15,7;9,2;Rohdaten
2017-01-28;11,4;12,8;10,4;Rohdaten
2017-01-29;11,4;12,1;10,4;Rohdaten
2017-01-30;11,8;15,4;8,96;Rohdaten
2017-01-31;29,4;81,2;10,6;Rohdaten
2017-02-01;79,5;103;63,9;Rohdaten
2017-02-02;53,1;64,8;45,2;Rohdaten
2017-02-03;45,6;49,7;41;Rohdaten
2017-02-04;40,8;46;36,2;Rohdaten
2017-02-05;35,5;39,6;31,3;Rohdaten
2017-02-06;30,2;36,9;24,6;Rohdaten
2017-02-07;24,9;28,4;22,8;Rohdaten
2017-02-08;23,2;25,4;20,7;Rohdaten
2017-02-09;21,3;24,6;19,2;Rohdaten
2017-02-10;20,3;24,6;18;Rohdaten
2017-02-11;19,3;21,5;17,7;Rohdaten
2017-02-12;19;20,7;17,7;Rohdaten
2017-02-13;18,3;20,3;17,7;Rohdaten
2017-02-14;17,7;19,6;15;Rohdaten
2017-02-15;18,2;20;16,9;Rohdaten
2017-02-16;19,2;22,4;17,3;Rohdaten
2017-02-17;33;48,9;18,8;Rohdaten
2017-02-18;33,2;41,7;25,4;Rohdaten
2017-02-19;27,8;31,9;25,4;Rohdaten
2017-02-20;24,3;27,8;20,7;Rohdaten
2017-02-21;40,7;96,2;24,1;Rohdaten
2017-02-22;111;135;88,4;Rohdaten
2017-02-23;67,9;87,4;56,9;Rohdaten
2017-02-24;56,6;60,4;51,2;Rohdaten
2017-02-25;43,5;51,9;38,2;Rohdaten
2017-02-26;35,3;40,3;31,9;Rohdaten
2017-02-27;32;35,5;27,8;Rohdaten
2017-02-28;32,7;42,4;27,3;Rohdaten
2017-03-01;36,7;41,7;33;Rohdaten
2017-03-02;58,9;78,1;33,6;Rohdaten
2017-03-03;50,7;64,8;41,7;Rohdaten
2017-03-04;41,1;44,5;38,2;Rohdaten
2017-03-05;41,3;44,5;36,9;Rohdaten
2017-03-06;38,5;43,8;35,5;Rohdaten
2017-03-07;42;45,2;39,6;Rohdaten
2017-03-08;38,8;44,5;35,5;Rohdaten
2017-03-09;182;301;42,4;Rohdaten
2017-03-10;194;300;111;Rohdaten
2017-03-11;84;111;66,7;Rohdaten
2017-03-12;59,3;66,7;51,2;Rohdaten
2017-03-13;49,2;53,4;40,3;Rohdaten
2017-03-14;41,6;48,9;35,5;Rohdaten
2017-03-15;37,5;46;30,1;Rohdaten
2017-03-16;37,3;40,3;33,6;Rohdaten
2017-03-17;38,6;42,4;34,8;Rohdaten
2017-03-18;70,6;163;41;Rohdaten
2017-03-19;201;264;146;Rohdaten
2017-03-20;105;146;78,1;Rohdaten
2017-03-21;74,1;88,4;63,9;Rohdaten
2017-03-22;63,2;65,7;56;Rohdaten
2017-03-23;52,6;59,5;47,5;Rohdaten
2017-03-24;47,9;53,4;41,7;Rohdaten
2017-03-25;43,1;46,7;39,6;Rohdaten
2017-03-26;44;48,9;34,8;Rohdaten
2017-03-27;36,4;42,4;33;Rohdaten
2017-03-28;35,2;38,2;31,9;Rohdaten
2017-03-29;36,3;41,7;33;Rohdaten
2017-03-30;37,1;41,7;31,9;Rohdaten
2017-03-31;37;42,4;32,4;Rohdaten
2017-04-01;37,8;44,5;33,6;Rohdaten
2017-04-02;35,1;38,9;32,4;Rohdaten
2017-04-03;37,4;45,2;33,6;Rohdaten
2017-04-04;44,7;51,2;35,5;Rohdaten
2017-04-05;39,1;46;33,6;Rohdaten
2017-04-06;32,8;36,9;29;Rohdaten
2017-04-07;30,3;36,9;27,3;Rohdaten
2017-04-08;28,3;31,3;25,9;Rohdaten
2017-04-09;30,6;34,8;26,7;Rohdaten
2017-04-10;33,8;39,6;30,1;Rohdaten
2017-04-11;37,9;40,3;33,6;Rohdaten
2017-04-12;34,4;39,6;28,4;Rohdaten
2017-04-13;32;43,1;25,9;Rohdaten
2017-04-14;28,7;31,9;25,9;Rohdaten
2017-04-15;29,5;33,6;26,7;Rohdaten
2017-04-16;45,7;63,9;28,4;Rohdaten
2017-04-17;52,7;69,5;45,2;Rohdaten
2017-04-18;62,2;78,1;51,9;Rohdaten
2017-04-19;47,1;52,6;42,4;Rohdaten
2017-04-20;40,5;45,2;36,9;Rohdaten
2017-04-21;38;42,4;33;Rohdaten
2017-04-22;38,8;43,8;35,5;Rohdaten
2017-04-23;46,8;51,2;41,7;Rohdaten
2017-04-24;44,2;51,2;40,3;Rohdaten
2017-04-25;52,9;60,4;47,5;Rohdaten
2017-04-26;65,3;71,4;60,4;Rohdaten
2017-04-27;64,1;69,5;58,6;Rohdaten
2017-04-28;61,5;69,5;56;Rohdaten
2017-04-29;56,9;69,5;50,4;Rohdaten
2017-04-30;59,6;68,6;53,4;Rohdaten
