Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"12.10.2020 12:55"
Zeitbezug:;MEZ
Messstellen-Name:;Lenggries
Messstellen-Nr.:;16003003
Gewässer:;Isar
Ostwert:;693016;Nordwert:;5284410;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"670,73 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2017-01-01;8,64;8,75;8,32;Rohdaten
2017-01-02;8,54;8,75;8,32;Rohdaten
2017-01-03;8,47;8,75;8,32;Rohdaten
2017-01-04;8,45;8,75;8,32;Rohdaten
2017-01-05;8,51;8,75;8,32;Rohdaten
2017-01-06;8,36;8,75;8,32;Rohdaten
2017-01-07;8,35;8,75;7,08;Rohdaten
2017-01-08;8,4;8,75;8,32;Rohdaten
2017-01-09;8,32;8,32;8,32;Rohdaten
2017-01-10;8,32;8,32;7,89;Rohdaten
2017-01-11;8,32;8,32;8,32;Rohdaten
2017-01-12;9,17;9,64;8,32;Rohdaten
2017-01-13;9,29;9,64;9,2;Rohdaten
2017-01-14;9,08;9,2;8,75;Rohdaten
2017-01-15;8,75;9,2;8,75;Rohdaten
2017-01-16;8,75;8,75;8,32;Rohdaten
2017-01-17;8,72;8,75;8,32;Rohdaten
2017-01-18;8,41;8,75;8,32;Rohdaten
2017-01-19;8,38;8,75;8,32;Rohdaten
2017-01-20;8,67;8,75;8,32;Rohdaten
2017-01-21;8,53;8,75;8,32;Rohdaten
2017-01-22;8,46;8,75;8,32;Rohdaten
2017-01-23;8,38;8,75;8,32;Rohdaten
2017-01-24;8,33;8,75;8,32;Rohdaten
2017-01-25;8,33;8,75;8,32;Rohdaten
2017-01-26;8,32;8,75;8,32;Rohdaten
2017-01-27;8,32;8,32;8,32;Rohdaten
2017-01-28;8,32;8,75;8,32;Rohdaten
2017-01-29;8,32;8,32;8,32;Rohdaten
2017-01-30;8,32;8,32;8,32;Rohdaten
2017-01-31;12,9;28,8;8,32;Rohdaten
2017-02-01;22,6;28,8;18,6;Rohdaten
2017-02-02;22,5;24,2;21,3;Rohdaten
2017-02-03;22;23,4;21,3;Rohdaten
2017-02-04;20,8;22,7;19,9;Rohdaten
2017-02-05;17,6;19,9;15,5;Rohdaten
2017-02-06;14;14,6;13;Rohdaten
2017-02-07;12,8;13,5;11,9;Rohdaten
2017-02-08;11,5;12,5;10,4;Rohdaten
2017-02-09;10,4;10,4;9,93;Rohdaten
2017-02-10;9,99;10,4;9,93;Rohdaten
2017-02-11;9,69;9,93;9,43;Rohdaten
2017-02-12;9,43;9,43;9,43;Rohdaten
2017-02-13;9,28;9,43;8,99;Rohdaten
2017-02-14;9,09;9,43;8,99;Rohdaten
2017-02-15;9,09;9,43;8,99;Rohdaten
2017-02-16;9,17;9,43;8,99;Rohdaten
2017-02-17;10,2;10,9;9,43;Rohdaten
2017-02-18;10,6;10,9;10,4;Rohdaten
2017-02-19;10,6;10,9;10,4;Rohdaten
2017-02-20;10,3;12,5;9,93;Rohdaten
2017-02-21;22,6;52,7;9,93;Rohdaten
2017-02-22;38,4;50,7;30,9;Rohdaten
2017-02-23;36,2;38,5;35,1;Rohdaten
2017-02-24;33,4;36;29,3;Rohdaten
2017-02-25;24,9;29,3;20,3;Rohdaten
2017-02-26;18,4;21;15,8;Rohdaten
2017-02-27;15,5;16,4;15,2;Rohdaten
2017-02-28;15,2;15,8;14,6;Rohdaten
2017-03-01;14,7;15,2;14,1;Rohdaten
2017-03-02;15,2;15,8;14,1;Rohdaten
2017-03-03;15,1;15,8;14,6;Rohdaten
2017-03-04;14,8;15,8;14,6;Rohdaten
2017-03-05;15,5;15,8;14,6;Rohdaten
2017-03-06;14,4;15,2;14,1;Rohdaten
2017-03-07;16,1;17,7;14,6;Rohdaten
2017-03-08;17,7;19;17,1;Rohdaten
2017-03-09;98,2;161;19,7;Rohdaten
2017-03-10;116;152;77,5;Rohdaten
2017-03-11;60,1;78,8;46,8;Rohdaten
2017-03-12;39,5;49,8;31,7;Rohdaten
2017-03-13;28,2;33,4;25,4;Rohdaten
2017-03-14;23,5;25,4;21,7;Rohdaten
2017-03-15;20,9;21,7;20,3;Rohdaten
2017-03-16;20,2;21;19,7;Rohdaten
2017-03-17;20;21;19;Rohdaten
2017-03-18;25,4;30,9;20,3;Rohdaten
2017-03-19;70,6;102;30,9;Rohdaten
2017-03-20;57;76,3;38,5;Rohdaten
2017-03-21;32,9;38,5;26,9;Rohdaten
2017-03-22;25,1;26,9;21,7;Rohdaten
2017-03-23;20,6;21,7;19,7;Rohdaten
2017-03-24;19,3;20,3;18,3;Rohdaten
2017-03-25;18,4;19;18,3;Rohdaten
2017-03-26;17,9;18,3;17,7;Rohdaten
2017-03-27;16,4;17,7;15,2;Rohdaten
2017-03-28;14,8;15,2;14,6;Rohdaten
2017-03-29;14,3;14,6;14,1;Rohdaten
2017-03-30;14,1;14,1;13,5;Rohdaten
2017-03-31;13,8;14,1;13,5;Rohdaten
2017-04-01;13,5;14,1;13,5;Rohdaten
2017-04-02;13,4;13,5;13;Rohdaten
2017-04-03;13,5;15,2;13;Rohdaten
2017-04-04;16,7;18,9;15,2;Rohdaten
2017-04-05;16;17,6;14,6;Rohdaten
2017-04-06;15;15,2;14,6;Rohdaten
2017-04-07;14,3;14,6;14;Rohdaten
2017-04-08;13,9;14;13,5;Rohdaten
2017-04-09;13,7;14;13,5;Rohdaten
2017-04-10;13,8;14,6;13,5;Rohdaten
2017-04-11;14,4;14,6;14;Rohdaten
2017-04-12;14,1;14,6;14;Rohdaten
2017-04-13;14;14;14;Rohdaten
2017-04-14;14;14;14;Rohdaten
2017-04-15;14,6;15,7;14;Rohdaten
2017-04-16;18,1;22,4;15,7;Rohdaten
2017-04-17;21,7;25,3;19,6;Rohdaten
2017-04-18;22,5;26,8;18,2;Rohdaten
2017-04-19;17;18,9;15,7;Rohdaten
2017-04-20;15,4;15,7;15,2;Rohdaten
2017-04-21;15,1;16,4;14,6;Rohdaten
2017-04-22;17;21,7;15,7;Rohdaten
2017-04-23;22;24,5;20,3;Rohdaten
2017-04-24;22;28,4;18,9;Rohdaten
2017-04-25;27,2;30;25,3;Rohdaten
2017-04-26;26,5;30;24,5;Rohdaten
2017-04-27;25,2;26,8;23,8;Rohdaten
2017-04-28;24;25,3;23,1;Rohdaten
2017-04-29;24,3;28,4;22,4;Rohdaten
2017-04-30;27;30;24,5;Rohdaten
2017-05-01;31,7;36,7;26,1;Rohdaten
2017-05-02;40,9;56,5;36,6;Rohdaten
2017-05-03;35,4;39,2;34;Rohdaten
2017-05-04;33,7;35,7;32,4;Rohdaten
2017-05-05;37,1;39,2;35,7;Rohdaten
2017-05-06;33,5;35,7;32,4;Rohdaten
2017-05-07;39,4;41;34;Rohdaten
2017-05-08;50,2;78,5;38,3;Rohdaten
2017-05-09;56,2;79,8;42,8;Rohdaten
2017-05-10;42,3;45,6;38,3;Rohdaten
2017-05-11;41,7;45,6;36,6;Rohdaten
2017-05-12;36;36,6;34,8;Rohdaten
2017-05-13;34,7;35,7;34;Rohdaten
2017-05-14;34,1;36,6;33,2;Rohdaten
2017-05-15;37,4;40,1;35,7;Rohdaten
2017-05-16;33,3;35,7;30,7;Rohdaten
2017-05-17;29,7;30,7;29,1;Rohdaten
2017-05-18;26,5;29,1;23,7;Rohdaten
2017-05-19;22,8;24,4;21,6;Rohdaten
2017-05-20;20,1;21,6;18,8;Rohdaten
2017-05-21;18,3;18,8;18,2;Rohdaten
2017-05-22;17,6;18,2;16,3;Rohdaten
2017-05-23;23,9;46,6;16,9;Rohdaten
2017-05-24;24,4;34,8;16,3;Rohdaten
2017-05-25;15,6;16,3;15;Rohdaten
2017-05-26;14,8;15;14,5;Rohdaten
2017-05-27;14,5;15;13,9;Rohdaten
